"Zone","Intended Tariff ID","Date","Desired Start","Configured Start","Start Time Match","Desired End","Configured End","End Time Match","RowGUID","Duplicate Eventday Entry"
"61541","61539","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","efdbbbc7-d464-ed11-80e9-0a94ef448f59",
"61485","61586","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","f0dbbbc7-d464-ed11-80e9-0a94ef448f59",
"61502","61586","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","f1dbbbc7-d464-ed11-80e9-0a94ef448f59",
"61586","61586","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","f3dbbbc7-d464-ed11-80e9-0a94ef448f59",
"61589","61589","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","fedbbbc7-d464-ed11-80e9-0a94ef448f59",
"61595","61589","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","ffdbbbc7-d464-ed11-80e9-0a94ef448f59",
"61601","61589","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","02dcbbc7-d464-ed11-80e9-0a94ef448f59",
"61604","61589","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","07dcbbc7-d464-ed11-80e9-0a94ef448f59",
"61609","61589","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","08dcbbc7-d464-ed11-80e9-0a94ef448f59",
"61610","61589","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","09dcbbc7-d464-ed11-80e9-0a94ef448f59",
"61611","61589","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","0adcbbc7-d464-ed11-80e9-0a94ef448f59",
"61628","61589","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","0bdcbbc7-d464-ed11-80e9-0a94ef448f59",
"61629","61589","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","0edcbbc7-d464-ed11-80e9-0a94ef448f59",
"61630","61589","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","10dcbbc7-d464-ed11-80e9-0a94ef448f59",
"61891","61589","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","12dcbbc7-d464-ed11-80e9-0a94ef448f59",
"61590","61590","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","14dcbbc7-d464-ed11-80e9-0a94ef448f59",
"61591","61590","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","15dcbbc7-d464-ed11-80e9-0a94ef448f59",
"61596","61590","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","18dcbbc7-d464-ed11-80e9-0a94ef448f59",
"61599","61590","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","1adcbbc7-d464-ed11-80e9-0a94ef448f59",
"61600","61590","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","1fdcbbc7-d464-ed11-80e9-0a94ef448f59",
"61606","61590","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","20dcbbc7-d464-ed11-80e9-0a94ef448f59",
"61613","61590","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","24dcbbc7-d464-ed11-80e9-0a94ef448f59",
"61614","61590","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","25dcbbc7-d464-ed11-80e9-0a94ef448f59",
